"Site","Location","Rep","Collection.Date","Notes","Original_Liq_CH4_umol","Original_Liq_CO2_umol"
"Catfish","outlet",1,"9/6/2022",NA,1.334079793,151.6840074
"Catfish","outlet",2,"9/6/2022",NA,1.928937478,133.7674368
"Sister3","bottom",1,"8/23/2022",NA,4.026279434,87.34056016
"Sister3","bottom",2,"8/23/2022",NA,2.37525934,58.96994183
"Sister3","bottom",3,"8/23/2022",NA,2.269474666,63.77248966
"Deans","inlet",1,"8/16/2022",NA,6.783257486,185.5922079
"Deans","inlet",2,"8/16/2022",NA,12.3341309,277.2249992
"Deans","inlet",3,"8/16/2022",NA,10.73528449,238.2942227
"Deans","inlet",1,"8/31/2022",NA,11.8314735,263.3441503
"Deans","inlet",2,"8/31/2022",NA,21.29177727,442.74896
"Deans","inlet",3,"8/31/2022",NA,17.68284617,426.2035609
"Picks","top",1,"9/13/2022",NA,95.27909606,569.2042716
"Picks","top",2,"9/13/2022",NA,101.3275344,551.9865321
"Picks","top",3,"9/13/2022",NA,99.37649502,558.580139
"Picks","bottom",1,"9/13/2022",NA,195.6156955,819.2507809
"Picks","bottom",2,"9/13/2022",NA,97.46498281,557.5476188
"Picks","bottom",3,"9/13/2022",NA,84.78387626,527.2802681
"Picks","inlet",1,"9/13/2022","Needle bent",11.53080563,167.5974261
"Picks","inlet",2,"9/13/2022",NA,9.110312627,158.3491417
"Picks","inlet",3,"9/13/2022",NA,9.313485838,176.9276932
"Picks","oulet",1,"9/13/2022",NA,0.308929005,171.9069618
"Picks","outlet",2,"9/13/2022",NA,0.230659211,130.2542614
"Catfish","outlet",3,"9/6/2022",NA,1.143501806,139.519178
"Catfish","bottom",1,"9/6/2022",NA,0.483776418,120.7469125
"Catfish","bottom",2,"9/6/2022",NA,0.56757865,153.7286751
"Catfish","bottom",3,"9/6/2022",NA,0.619842252,217.2560501
"Catfish","top",1,"9/6/2022",NA,0.585418525,140.1731574
"Catfish","top",2,"9/6/2022",NA,0.587434326,132.1553259
"Catfish","top",3,"9/6/2022","unable to check graph curve",0.583838255,143.1690773
"Picks","outlet",3,"9/13/2022",NA,0.555629676,176.924551
"Catfish","outlet",1,"9/19/2022","hard to pull?",2.562409029,143.3436677
"Catfish","outlet",2,"9/19/2022","hard to pull?",3.579233061,134.5978771
"Catfish","outlet",3,"9/19/2022","hard to pull?",3.657560617,232.0347064
"Catfish","inlet",1,"9/19/2022","hard to pull?",0.011845212,-8.187107027
"Catfish","inlet",2,"9/19/2022","hard to pull?",0.458248082,100.9200799
"Catfish","inlet",3,"9/19/2022","hard to pull?",0.450293911,51.80728508
"Catfish","bottom",1,"9/19/2022","hard to pull?",0.457278985,62.12776055
"Catfish","bottom",2,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.458017723,57.83546383
"Catfish","bottom",3,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.472400937,73.12002334
"Catfish","top",1,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.473118195,65.93909982
"Catfish","top",2,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.462564998,51.42311821
"Catfish","top",3,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.465145046,59.74952658
"Pick","inlet",1,"7/13/2022",NA,0.588242305,393.6668663
"Pick","inlet",2,"7/13/2022",NA,0.573014409,494.7229838
"Pick","inlet",3,"7/13/2022",NA,0.565837536,463.9508079
"Pick","outlet",1,"7/13/2022",NA,1.236737324,117.785871
"Pick","outlet",2,"7/13/2022",NA,1.604939807,122.3277516
"Pick","outlet",3,"7/13/2022",NA,1.530324178,133.2494488
"Pick","top",1,"7/13/2022",NA,0.772714072,307.8062137
"Pick","top",2,"7/13/2022",NA,0.79371463,327.0593899
"Pick","top",3,"7/13/2022",NA,0.89631476,340.38963
"Catfish","inlet",1,"7/28/2022",NA,1.191889144,141.2691071
"Catfish","inlet",2,"7/28/2022",NA,0.850955663,134.2844049
"Catfish","inlet",3,"7/28/2022",NA,0.872748208,141.0788602
"Catfish","top",1,"7/28/2022",NA,0.485497468,46.93007233
"Catfish","top",2,"7/28/2022",NA,0.694436321,54.67376095
"Catfish","top",3,"7/28/2022","Hard to pull",0.215448837,57.61134961
"Catfish","bottom",2,"7/28/2022",NA,211.9800341,240.9851494
"Catfish","bottom",3,"7/28/2022",NA,491.2237715,529.886678
"Catfish","outlet",1,"7/28/2022",NA,0.072834741,109.9585973
"Catfish","outlet",2,"7/28/2022",NA,0.055539007,102.6242336
"Catfish","outlet",3,"7/28/2022",NA,0.0521947,93.47982574
