Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CH4.curve,CH4.conc.ppm,CO2.conc.ppm,Temp,Barometric_P,Headspace_equil_P,Headspace_vol,Liquid_vol,Final_Headspace_Mixing_CH4_ppm,Final_Headspace_Mixing_CO2_ppm,Source_Gas_Mixing_CH4_ppm,Source_Gas_Mixing_CO2_ppm,Headspace_Equil_Temp_K,Bunsen_Sol_CH4,Bunsen_Sol_CO2,Source_Gas_CH4_umol,Source_Gas_CO2_umol,Final_Headspace_CH4_umol,Final_Headspace_CO2_umol,Final_Liq_CH4_umol,Final_Liq_CO2_umol,Total_Gas_CH4_umol,Total_Gas_CO2_umol,Original_Liq_CH4_umol,Original_Liq_CO2_umol,Data_Flag
206,Sister3,bottom,1,8/23/2022,1644.1754,363.223,10708.607,1108.718,10/11/2022,EDC_A_29,exceeds highest standard,NA,0,high,365.4894512,2358.947363,15,0.93,0.93,0.02,0.04,365.4894512,2358.947363,0,1,288.15,0.038608971,1.014140845,0,0.03931164,14.36798991,92.73409068,0.554733308,94.04542909,0.309549131,5.616498977,7.738728263,140.3928186,1
209,Sister3,top,1,8/23/2022,107.2822,24.722,2967.5084,349.38,10/11/2022,EDC_A_30,NA,NA,0,high,39.68615076,603.5977471,16,0.93,0.93,0.02,0.04,39.68615076,603.5977471,0,1,289.15,0.037755488,0.982799407,0,0.039175685,1.554732126,23.64635498,0.05869967,23.23962366,0.033442629,1.402512046,0.836065733,35.04321331,
210,Sister3,top,2,8/23/2022,110.9326,25.671,3540.675,408.507,10/11/2022,EDC_A_32,NA,NA,0,high,40.45999267,733.5673836,16,0.93,0.93,0.02,0.04,40.45999267,733.5673836,0,1,289.15,0.037755488,0.982799407,0,0.039175685,1.585047913,28.73800447,0.059844258,28.24369376,0.034094729,1.70450784,0.852368214,42.59310815,
211,Sister3,top,3,8/23/2022,112.033,26.007,3588.2808,413.496,10/11/2022,EDC_A_33,NA,NA,0,high,40.69326454,744.3623401,16,0.93,0.93,0.02,0.04,40.69326454,744.3623401,0,1,289.15,0.037755488,0.982799407,0,0.039175685,1.594186498,29.16090428,0.060189289,28.65931944,0.034291302,1.729590863,0.857282538,43.22018374,
212,Sister3,outlet,1,8/23/2022,500.7358,121.396,6307.2048,684.775,10/11/2022,EDC_A_34,NA,NA,0,high,123.093691,1360.897854,17.2,0.93,0.93,0.02,0.04,123.093691,1360.897854,0,1,290.35,0.036779775,0.947067594,0,0.039013774,4.802349411,53.09376097,0.176629331,50.28338045,0.103112161,3.073210437,2.577804037,76.81075405,
213,Sister3,outlet,2,8/23/2022,527.4325,127.602,6275.6996,681.303,10/11/2022,EDC_A_35,NA,NA,0,high,128.7530777,1353.753824,16.8,0.93,0.93,0.02,0.04,128.7530777,1353.753824,0,1,289.95,0.037099314,0.958758113,0,0.039067595,5.030073111,52.8879063,0.186612262,50.70670927,0.108065953,3.086026497,2.701648818,77.13112862,
214,Sister3,outlet,3,8/23/2022,501.173,121.287,7508.9491,800.163,10/11/2022,EDC_A_36,NA,NA,0,high,123.1863723,1633.401991,17.5,0.93,0.93,0.02,0.04,123.1863723,1633.401991,0,1,290.65,0.036543768,0.938440175,0,0.038973505,4.801004688,63.65940055,0.175446802,59.740539,0.103037966,3.662809571,2.575949146,91.55075252,
226,Deans,inlet,1,8/31/2022,3963.3626,840.175,30524.9106,2762.235,10/11/2022,EDC_A_37,exceeds highest standard,NA,0,high,857.1298879,6852.436301,15.3,0.93,0.93,0.02,0.04,857.1298879,6852.436301,0,1,288.45,0.038348946,1.004583682,0,0.039270755,33.66013762,269.1003454,1.290830806,270.3338159,0.724835985,16.19535955,18.12089962,404.8643533,1
229,Deans,outlet,1,8/31/2022,690.71,164.666,15810.7374,1554.622,10/11/2022,EDC_A_39,NA,NA,0,high,163.3659893,3515.892017,16.1,0.93,0.93,0.02,0.04,163.3659893,3515.892017,0,1,289.25,0.037672197,0.979745112,0,0.039162141,6.397761865,137.689858,0.241017743,134.9009653,0.137595947,8.149835773,3.439898675,203.7263133,
230,Deans,outlet,2,8/31/2022,863.8248,202.041,10798.7746,1106.207,10/11/2022,EDC_A_40,NA,NA,0,high,200.0642928,2379.393513,17,0.93,0.93,0.02,0.04,200.0642928,2379.393513,0,1,290.15,0.036938844,0.95288585,0,0.039040666,7.810643212,92.89310716,0.288516132,88.51652736,0.16775351,5.398523238,4.193837738,134.9435606,
231,Deans,outlet,3,8/31/2022,1108.1534,253.563,9573.8298,992.076,10/11/2022,EDC_A_41,NA,NA,0,high,251.8590853,2101.628496,16.2,0.93,0.93,0.02,0.04,251.8590853,2101.628496,0,1,289.35,0.037589272,0.976705012,0,0.039148606,9.859932152,82.2758264,0.370627667,80.35921198,0.21202375,4.859885007,5.300593743,121.4775509,
232,Deans,top,1,8/31/2022,22.719,4.9575,4586.7668,511.858,10/11/2022,EDC_A_42,NA,NA,0,low,10.36956846,970.7762004,16.2,0.93,0.93,0.02,0.04,10.36956846,970.7762004,0,1,289.35,0.037589272,0.976705012,0,0.039148606,0.405954152,38.00453519,0.015259521,37.11921998,0.008729464,2.244859503,0.218236597,56.10191328,
233,Deans,top,2,8/31/2022,480.4426,116.788,5735.4404,625.193,10/11/2022,EDC_A_44,NA,NA,0,high,118.791771,1231.246176,16.2,0.93,0.93,0.02,0.04,118.791771,1231.246176,0,1,289.35,0.037589272,0.976705012,0,0.039148606,4.650532264,48.2015717,0.17481012,47.07871664,0.10000305,2.8471801,2.500076252,71.15992819,
234,Deans,top,3,8/31/2022,23.062,5.023,4884.5013,540.48,10/11/2022,EDC_A_45,NA,NA,0,low,10.5097867,1038.289633,16.5,0.93,0.93,0.02,0.04,10.5097867,1038.289633,0,1,289.65,0.037342677,0.967669092,0,0.039108059,0.411017355,40.60549194,0.015348488,39.29267953,0.008834287,2.38381702,0.220857166,59.57587147,
235,Deans,bottom,1,8/31/2022,23.8256,5.19,2749.1506,324.532,10/11/2022,EDC_A_46,NA,NA,0,low,10.82194604,554.0835501,16.3,0.93,0.93,0.02,0.04,10.82194604,554.0835501,0,1,289.45,0.037506711,0.973679027,0,0.039135081,0.423517735,21.68410464,0.015884757,21.11335791,0.009105745,1.278216409,0.227643625,31.93584269,
236,Deans,bottom,2,8/31/2022,31.6416,6.934,3719.4136,424.027,10/11/2022,EDC_A_47,NA,NA,0,low,14.0171233,774.0976428,16.5,0.93,0.93,0.02,0.04,14.0171233,774.0976428,0,1,289.65,0.037342677,0.967669092,0,0.039108059,0.548182481,30.27345607,0.020470601,29.29468776,0.011782474,1.777256632,0.294561842,44.41186177,
237,Deans,bottom,3,8/31/2022,37.658,8.324,2864.9342,336.268,10/11/2022,EDC_A_48,NA,NA,0,low,16.47662491,580.3383117,16.2,0.93,0.93,0.02,0.04,16.47662491,580.3383117,0,1,289.35,0.037589272,0.976705012,0,0.039148606,0.6450369,22.71943604,0.024246467,22.19018704,0.013870597,1.341996202,0.346764917,33.53033075,
249,Catfish,inlet,3,9/6/2022,91.224,20.822,10299.0246,1052.745,10/11/2022,EDC_A_49,NA,NA,0,high,36.28200103,2266.071617,13.5,0.93,0.93,0.02,0.04,36.28200103,2266.071617,0,1,286.65,0.039962502,1.064012247,0,0.039517353,1.433768639,89.54915178,0.057296982,95.28139425,0.030967252,5.602238806,0.774181301,140.0362115,
250,Catfish,inlet,2,9/6/2022,69.7761,15.805,9851.0892,1011.587,10/11/2022,EDC_A_50,NA,NA,0,low,29.60648967,2164.499053,13.2,0.93,0.93,0.02,0.04,29.60648967,2164.499053,0,1,286.35,0.040244281,1.074420564,0,0.039558754,1.171195842,85.62488557,0.047133935,91.99713789,0.025309274,5.392383227,0.632731856,134.7898013,
251,Catfish,inlet,1,9/6/2022,41.6533,9.199,10873.2844,1104.03,10/11/2022,EDC_A_51,NA,NA,0,low,18.10990174,2396.289145,13.8,0.93,0.93,0.02,0.04,18.10990174,2396.289145,0,1,286.95,0.03968449,1.053751912,0,0.039476038,0.714907176,94.59600222,0.028370727,99.68071822,0.015432973,5.879148773,0.385824315,146.9589813,
252,Catfish,outlet,1,9/6/2022,215.1565,51.658,11157.7472,1128.914,10/11/2022,EDC_A_52,NA,NA,0,high,62.55423487,2460.793124,13.6,0.93,0.93,0.02,0.04,62.55423487,2460.793124,0,1,286.75,0.039869416,1.060575818,0,0.039503572,2.471115707,97.21011781,0.098521939,103.0987003,0.053363192,6.068150367,1.334079793,151.6840074,
253,Catfish,outlet,2,9/6/2022,347.3978,84.94,9949.2013,1018.537,10/11/2022,EDC_A_53,NA,NA,0,high,90.58783668,2186.746676,13.9,0.93,0.93,0.02,0.04,90.58783668,2186.746676,0,1,287.05,0.039592647,1.050364249,0,0.039462286,3.574803123,86.29402283,0.141535917,90.6401565,0.077157499,5.351486717,1.928937478,133.7674368,
