Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CH4.curve,Measured.CH4.conc.ppm,Measured.CO2.conc.ppm,Temp,Barometric_P,Headspace_equil_P,Headspace_vol,Liquid_vol,Final_Headspace_Mixing_CH4_ppm,Final_Headspace_Mixing_CO2_ppm,Source_Gas_Mixing_CH4_ppm,Source_Gas_Mixing_CO2_ppm,Headspace_Equil_Temp_K,Bunsen_Sol_CH4,Bunsen_Sol_CO2,Source_Gas_CH4_umol,Source_Gas_CO2_umol,Final_Headspace_CH4_umol,Final_Headspace_CO2_umol,Final_Liq_CH4_umol,Final_Liq_CO2_umol,Total_Gas_CH4_umol,Total_Gas_CO2_umol,Original_Liq_CH4_umol,Original_Liq_CO2_umol,Data_Flag
296,Catfish,outlet,3,9/19/2022,682.8785,164.329,15789.2998,1508.86,10/13/2022,EDC_C_67,hard to pull?,NA,0,high,162.2604611,3895.904064,16,0.93,0.93,0.02,0.04,162.2604611,3895.904064,0,1,289.15,0.037755488,0.982799407,0,0.042124392,6.83512328,164.1125902,0.239998977,149.9994735,0.146302425,9.282230744,3.657560617,232.0347064,
297,Catfish,inlet,1,9/19/2022,0,0,7.8076,0.88,10/13/2022,EDC_C_68,hard to pull?,NA,0,low,0.525489467,-137.0969032,16,0.93,0.93,0.02,0.04,0.525489467,-137.0969032,0,1,289.15,0.037755488,0.982799407,0,0.042124392,0.022135924,-5.775123701,0.00077725,-5.278482981,0.000473808,-0.326641793,0.011845212,-8.187107027,
298,Catfish,inlet,2,9/19/2022,9.9726,2.174,7191.3045,750.426,10/13/2022,EDC_C_69,hard to pull?,NA,0,high,20.33924706,1698.664226,16.1,0.93,0.93,0.02,0.04,20.33924706,1698.664226,0,1,289.25,0.037672197,0.979745112,0,0.042109829,0.856482211,71.53045966,0.030006977,65.17590493,0.018329923,4.037645391,0.458248082,100.9200799,
299,Catfish,inlet,3,9/19/2022,8.2522,1.798,3949.1692,440.209,10/13/2022,EDC_C_70,hard to pull?,NA,0,high,19.976401,870.1282023,16,0.93,0.93,0.02,0.04,19.976401,870.1282023,0,1,289.15,0.037755488,0.982799407,0,0.042124392,0.841493748,36.65362154,0.029547037,33.5015365,0.018011756,2.073133891,0.450293911,51.80728508,
300,Catfish,bottom,1,9/19/2022,10.0977,2.2,4704.2484,513.547,10/13/2022,EDC_C_71,hard to pull?,NA,0,high,20.36563165,1063.090636,16.8,0.93,0.93,0.02,0.04,20.36563165,1063.090636,0,1,289.95,0.037099314,0.958758113,0,0.042008167,0.855522851,44.65848877,0.029517559,39.81952025,0.018291159,2.485950585,0.457278985,62.12776055,
301,Catfish,bottom,2,9/19/2022,10.441,2.271,4452.8166,489.552,10/13/2022,EDC_C_73,hard to pull? Couldn't get more than 5mL,NA,0,high,20.43803635,998.8365922,17.2,0.93,0.93,0.02,0.04,20.43803635,998.8365922,0,1,290.35,0.036779775,0.947067594,0,0.041950294,0.857381641,41.90148906,0.029326903,36.90569445,0.018320709,2.314257559,0.458017723,57.83546383,
302,Catfish,bottom,3,9/19/2022,13.4359,2.92,5474.0385,587.509,10/13/2022,EDC_C_74,hard to pull? Couldn't get more than 5mL,NA,0,high,21.06968462,1259.812478,17.1,0.93,0.93,0.02,0.04,21.06968462,1259.812478,0,1,290.25,0.036859135,0.949970008,0,0.041964748,0.884183995,52.86771255,0.03030894,46.70714944,0.018896037,2.925640229,0.472400937,73.12002334,
303,Catfish,top,1,9/19/2022,13.4424,2.946,4959.3629,537.785,10/13/2022,EDC_C_75,hard to pull? Couldn't get more than 5mL,NA,0,high,21.07105552,1128.285803,16.8,0.93,0.93,0.02,0.04,21.07105552,1128.285803,0,1,289.95,0.037099314,0.958758113,0,0.042008167,0.885156415,47.39721822,0.030539987,42.26149479,0.018924728,2.638404156,0.473118195,65.93909982,
304,Catfish,top,2,9/19/2022,11.3086,2.429,4003.676,444.841,10/13/2022,EDC_C_76,hard to pull? Couldn't get more than 5mL,NA,0,high,20.6210201,884.0575554,17,0.93,0.93,0.02,0.04,20.6210201,884.0575554,0,1,290.15,0.036938844,0.95288585,0,0.041979211,0.865654146,37.11203833,0.029737925,32.88808865,0.0185026,2.057764313,0.462564998,51.42311821,
305,Catfish,top,3,9/19/2022,11.9964,2.637,4591.388,502.093,10/13/2022,EDC_C_77,hard to pull? Couldn't get more than 5mL,NA,0,high,20.7660826,1034.24887,17.3,0.93,0.93,0.02,0.04,20.7660826,1034.24887,0,1,290.45,0.036700762,0.944178532,0,0.041935851,0.870843349,43.37210666,0.029723371,38.08444118,0.018605802,2.39081978,0.465145046,59.74952658,
136,Pick,inlet,1,7/13/2022,36.9642,8.203,26102.7448,2295.726,10/13/2022,EDC_C_93,NA,NA,0,high,26.03199049,6531.53149,15.5,0.93,0.93,0.02,0.04,26.03199049,6531.53149,0,1,288.65,0.038177508,0.998286611,0,0.04219736,1.098481274,275.6133857,0.039001668,255.8812721,0.023529692,15.7475186,0.588242305,393.6668663,
137,Pick,inlet,2,7/13/2022,33.769,7.511,32663.3701,2271.009,10/13/2022,EDC_C_94,NA,NA,0,high,25.35809736,8208.116178,15.5,0.93,0.93,0.02,0.04,25.35809736,8208.116178,0,1,288.65,0.038177508,0.998286611,0,0.04219736,1.070044763,346.3608333,0.037992027,321.5636658,0.022920576,19.7897633,0.573014409,494.7229838,
138,Pick,inlet,3,7/13/2022,32.556,7.213,31025.1441,2651.134,10/13/2022,EDC_C_95,NA,NA,0,high,25.102266,7789.463306,16,0.93,0.93,0.02,0.04,25.102266,7789.463306,0,1,289.15,0.037755488,0.982799407,0,0.042124392,1.057417695,328.1264063,0.037128689,299.908667,0.022633501,18.55887481,0.565837536,463.9508079,
139,Pick,outlet,1,7/13/2022,174.9458,41.976,8466.287,856.469,10/13/2022,EDC_C_96,NA,NA,0,high,55.13340896,2024.489287,17,0.93,0.93,0.02,0.04,55.13340896,2024.489287,0,1,290.15,0.036938844,0.95288585,0,0.041979211,2.314456988,84.98646221,0.07950883,75.31362946,0.049469493,4.712274422,1.236737324,117.785871,
140,Pick,outlet,2,7/13/2022,250.2932,61.104,8487.2426,857.84,10/13/2022,EDC_C_97,NA,NA,0,high,71.02477576,2029.844545,15.5,0.93,0.93,0.02,0.04,71.02477576,2029.844545,0,1,288.65,0.038177508,0.998286611,0,0.04219736,2.997058032,85.65408102,0.106410791,79.52180973,0.064197592,4.89395401,1.604939807,122.3277516,
141,Pick,outlet,3,7/13/2022,235.7448,57.31,9340.8674,934.106,10/13/2022,EDC_C_98,NA,NA,0,high,67.95640232,2247.99056,16.2,0.93,0.93,0.02,0.04,67.95640232,2247.99056,0,1,289.35,0.037589272,0.976705012,0,0.042095275,2.860643478,94.62978194,0.100002439,85.95560551,0.061212967,5.330819859,1.530324178,133.2494488,
142,Pick,top,1,7/13/2022,77.259,17.666,21482.9416,1934.441,10/13/2022,EDC_C_99,NA,NA,0,high,34.53048476,5350.928887,17.5,0.93,0.93,0.02,0.04,34.53048476,5350.928887,0,1,290.65,0.036543768,0.938440175,0,0.041906995,1.447068837,224.2413477,0.049179654,195.7064933,0.030908563,12.31308669,0.772714072,307.8062137,
143,Pick,top,2,7/13/2022,81.466,18.664,22640.4477,2020.729,10/13/2022,EDC_C_100,NA,NA,0,high,35.41777457,5646.732551,17.2,0.93,0.93,0.02,0.04,35.41777457,5646.732551,0,1,290.35,0.036779775,0.947067594,0,0.041950294,1.485786069,236.8820927,0.050821596,208.6393188,0.031748585,13.0832146,0.79371463,327.0593899,
144,Pick,top,3,7/13/2022,103.1736,24.069,23540.9824,2088.825,10/13/2022,EDC_C_101,NA,NA,0,high,39.99608031,5876.866513,17.2,0.93,0.93,0.02,0.04,39.99608031,5876.866513,0,1,290.35,0.036779775,0.947067594,0,0.041950294,1.677847342,246.5362801,0.057391089,217.1424651,0.03585259,13.6164242,0.89631476,340.38963,
173,Catfish,inlet,1,7/28/2022,166.074,39.7,10154.9482,1002.929,10/13/2022,EDC_C_104,NA,NA,0,high,53.26227567,2456.031005,17.5,0.93,0.93,0.02,0.04,53.26227567,2456.031005,0,1,290.65,0.036543768,0.938440175,0,0.041906995,2.232061896,102.9248779,0.075858196,89.82762164,0.047675566,5.651602425,1.191889144,141.2691071,
174,Catfish,inlet,2,7/28/2022,94.2687,21.793,9783.925,969.619,10/13/2022,EDC_C_105,NA,NA,0,high,38.11796597,2361.215071,18,0.93,0.93,0.02,0.04,38.11796597,2361.215071,0,1,291.15,0.036157233,0.924322865,0,0.041835027,1.594666117,98.78149507,0.053622605,84.91457492,0.034038227,5.372212898,0.850955663,134.2844049,
175,Catfish,inlet,3,7/28/2022,99.7767,23.063,10469.9358,1029.902,10/13/2022,EDC_C_106,NA,NA,0,high,39.27964704,2536.526897,19,0.93,0.93,0.02,0.04,39.27964704,2536.526897,0,1,292.15,0.035408956,0.897037968,0,0.041691829,1.637640344,105.7524467,0.053928036,88.22348273,0.034909928,5.643988243,0.872748208,141.0788602,
